***************************** Dataset appendicitis-10 (8 attributes) *************************
# of fold		acc(training)		acc(testing)
1		98.94736842105263		81.81818181818181
2		97.89473684210526		90.9090909090909
3		100.0		81.81818181818181
4		98.94736842105263		90.9090909090909
5		97.89473684210526		81.81818181818181
6		100.0		81.81818181818181
7		98.95833333333333		80.0
8		97.91666666666667		80.0
9		98.95833333333333		80.0
10		98.95833333333333		90.0
mean 		98.84758771929826		83.9090909090909
***************************** Dataset australian-10 (15 attributes) *************************
# of fold		acc(training)		acc(testing)
1		67.31078904991948		56.52173913043478
2		65.53945249597423		60.869565217391305
3		64.4122383252818		59.42028985507246
4		64.89533011272141		60.869565217391305
5		63.60708534621578		56.52173913043478
6		63.92914653784219		57.971014492753625
7		65.70048309178743		56.52173913043478
8		64.89533011272141		62.31884057971015
9		64.09017713365539		57.971014492753625
10		64.89533011272141		57.971014492753625
mean 		64.92753623188405		58.69565217391304
